action,count,policy,rate_within_component,true_component
STRONG_VERIFY,335,SHUFFLED_ATTRIBUTION,0.09955423476968796,G
TOOL_RETRY,764,SHUFFLED_ATTRIBUTION,0.22704309063893016,G
REOBSERVE_REPLAN,310,SHUFFLED_ATTRIBUTION,0.09212481426448738,G
REGENERATE,1103,SHUFFLED_ATTRIBUTION,0.30494885264030963,V
STRONG_VERIFY,343,SHUFFLED_ATTRIBUTION,0.0948299695880564,V
TOOL_RETRY,794,SHUFFLED_ATTRIBUTION,0.21951893834669617,V
REOBSERVE_REPLAN,343,SHUFFLED_ATTRIBUTION,0.0948299695880564,V
REGENERATE,1084,SHUFFLED_ATTRIBUTION,0.2978840340752954,X
STRONG_VERIFY,337,SHUFFLED_ATTRIBUTION,0.09260785930200605,X
TOOL_RETRY,808,SHUFFLED_ATTRIBUTION,0.2220390217092608,X
REOBSERVE_REPLAN,348,SHUFFLED_ATTRIBUTION,0.09563066776586975,X
REGENERATE,998,SHUFFLED_ATTRIBUTION,0.28885672937771345,E
STRONG_VERIFY,354,SHUFFLED_ATTRIBUTION,0.1024602026049204,E
TOOL_RETRY,776,SHUFFLED_ATTRIBUTION,0.22460202604920404,E
REOBSERVE_REPLAN,312,SHUFFLED_ATTRIBUTION,0.09030390738060781,E
REGENERATE,3365,ORACLE_MULTI_LABEL,1.0,G
STRONG_VERIFY,0,ORACLE_MULTI_LABEL,0.0,G
TOOL_RETRY,0,ORACLE_MULTI_LABEL,0.0,G
REOBSERVE_REPLAN,0,ORACLE_MULTI_LABEL,0.0,G
REGENERATE,804,ORACLE_MULTI_LABEL,0.22228366049212053,V
STRONG_VERIFY,1621,ORACLE_MULTI_LABEL,0.4481614597732928,V
TOOL_RETRY,0,ORACLE_MULTI_LABEL,0.0,V
REOBSERVE_REPLAN,0,ORACLE_MULTI_LABEL,0.0,V
REGENERATE,638,ORACLE_MULTI_LABEL,0.17532289090409453,X
STRONG_VERIFY,0,ORACLE_MULTI_LABEL,0.0,X
TOOL_RETRY,2403,ORACLE_MULTI_LABEL,0.6603462489694971,X
REOBSERVE_REPLAN,0,ORACLE_MULTI_LABEL,0.0,X
REGENERATE,567,ORACLE_MULTI_LABEL,0.16410998552821998,E
STRONG_VERIFY,0,ORACLE_MULTI_LABEL,0.0,E
TOOL_RETRY,932,ORACLE_MULTI_LABEL,0.26975397973950793,E
REOBSERVE_REPLAN,1362,ORACLE_MULTI_LABEL,0.3942112879884226,E
