action,count,policy,rate_within_cause,true_source
STRONG_VERIFY,53,ATTRIBUTION_AWARE,0.02543186180422265,X
TOOL_RETRY,1376,ATTRIBUTION_AWARE,0.6602687140115163,X
REOBSERVE_REPLAN,402,ATTRIBUTION_AWARE,0.1928982725527831,X
COMMIT,12,ATTRIBUTION_AWARE,0.006749156355455568,E
REGENERATE,265,ATTRIBUTION_AWARE,0.14904386951631046,E
STRONG_VERIFY,107,ATTRIBUTION_AWARE,0.06017997750281215,E
TOOL_RETRY,630,ATTRIBUTION_AWARE,0.3543307086614173,E
REOBSERVE_REPLAN,764,ATTRIBUTION_AWARE,0.4296962879640045,E
COMMIT,0,ATTRIBUTION_DEGRADED,0.0,SUCCESS
REGENERATE,500,ATTRIBUTION_DEGRADED,0.12330456226880394,SUCCESS
STRONG_VERIFY,13,ATTRIBUTION_DEGRADED,0.0032059186189889025,SUCCESS
TOOL_RETRY,3436,ATTRIBUTION_DEGRADED,0.8473489519112207,SUCCESS
REOBSERVE_REPLAN,106,ATTRIBUTION_DEGRADED,0.026140567200986436,SUCCESS
COMMIT,0,ATTRIBUTION_DEGRADED,0.0,G
REGENERATE,1419,ATTRIBUTION_DEGRADED,0.766612641815235,G
STRONG_VERIFY,65,ATTRIBUTION_DEGRADED,0.03511615343057806,G
TOOL_RETRY,269,ATTRIBUTION_DEGRADED,0.14532685035116152,G
REOBSERVE_REPLAN,98,ATTRIBUTION_DEGRADED,0.05294435440302539,G
COMMIT,0,ATTRIBUTION_DEGRADED,0.0,V
REGENERATE,216,ATTRIBUTION_DEGRADED,0.0967741935483871,V
STRONG_VERIFY,1695,ATTRIBUTION_DEGRADED,0.7594086021505376,V
TOOL_RETRY,198,ATTRIBUTION_DEGRADED,0.08870967741935484,V
REOBSERVE_REPLAN,123,ATTRIBUTION_DEGRADED,0.05510752688172043,V
COMMIT,0,ATTRIBUTION_DEGRADED,0.0,X
REGENERATE,229,ATTRIBUTION_DEGRADED,0.10988483685220729,X
STRONG_VERIFY,37,ATTRIBUTION_DEGRADED,0.017754318618042227,X
TOOL_RETRY,1567,ATTRIBUTION_DEGRADED,0.7519193857965452,X
REOBSERVE_REPLAN,251,ATTRIBUTION_DEGRADED,0.12044145873320537,X
COMMIT,0,ATTRIBUTION_DEGRADED,0.0,E
REGENERATE,251,ATTRIBUTION_DEGRADED,0.14116985376827895,E
STRONG_VERIFY,77,ATTRIBUTION_DEGRADED,0.04330708661417323,E
TOOL_RETRY,850,ATTRIBUTION_DEGRADED,0.4780652418447694,E
REOBSERVE_REPLAN,600,ATTRIBUTION_DEGRADED,0.3374578177727784,E
COMMIT,842,SHUFFLED_ATTRIBUTION,0.20764488286066585,SUCCESS
REGENERATE,808,SHUFFLED_ATTRIBUTION,0.19926017262638718,SUCCESS
STRONG_VERIFY,721,SHUFFLED_ATTRIBUTION,0.17780517879161528,SUCCESS
TOOL_RETRY,1083,SHUFFLED_ATTRIBUTION,0.26707768187422937,SUCCESS
REOBSERVE_REPLAN,601,SHUFFLED_ATTRIBUTION,0.14821208384710235,SUCCESS
COMMIT,377,SHUFFLED_ATTRIBUTION,0.2036736898973528,G
REGENERATE,391,SHUFFLED_ATTRIBUTION,0.21123716909778498,G
STRONG_VERIFY,312,SHUFFLED_ATTRIBUTION,0.1685575364667747,G
TOOL_RETRY,500,SHUFFLED_ATTRIBUTION,0.2701242571582928,G
REOBSERVE_REPLAN,271,SHUFFLED_ATTRIBUTION,0.14640734737979472,G
COMMIT,489,SHUFFLED_ATTRIBUTION,0.21908602150537634,V
REGENERATE,458,SHUFFLED_ATTRIBUTION,0.20519713261648745,V
STRONG_VERIFY,387,SHUFFLED_ATTRIBUTION,0.17338709677419356,V
TOOL_RETRY,573,SHUFFLED_ATTRIBUTION,0.2567204301075269,V
REOBSERVE_REPLAN,325,SHUFFLED_ATTRIBUTION,0.14560931899641577,V
COMMIT,447,SHUFFLED_ATTRIBUTION,0.21449136276391556,X
REGENERATE,423,SHUFFLED_ATTRIBUTION,0.2029750479846449,X
STRONG_VERIFY,358,SHUFFLED_ATTRIBUTION,0.17178502879078694,X
TOOL_RETRY,542,SHUFFLED_ATTRIBUTION,0.2600767754318618,X
REOBSERVE_REPLAN,314,SHUFFLED_ATTRIBUTION,0.15067178502879078,X
COMMIT,362,SHUFFLED_ATTRIBUTION,0.20359955005624297,E
REGENERATE,407,SHUFFLED_ATTRIBUTION,0.22890888638920134,E
STRONG_VERIFY,324,SHUFFLED_ATTRIBUTION,0.18222722159730034,E
TOOL_RETRY,440,SHUFFLED_ATTRIBUTION,0.24746906636670415,E
REOBSERVE_REPLAN,245,SHUFFLED_ATTRIBUTION,0.1377952755905512,E
COMMIT,4055,ORACLE_ATTRIBUTION,1.0,SUCCESS
REGENERATE,0,ORACLE_ATTRIBUTION,0.0,SUCCESS
STRONG_VERIFY,0,ORACLE_ATTRIBUTION,0.0,SUCCESS
TOOL_RETRY,0,ORACLE_ATTRIBUTION,0.0,SUCCESS
REOBSERVE_REPLAN,0,ORACLE_ATTRIBUTION,0.0,SUCCESS
COMMIT,0,ORACLE_ATTRIBUTION,0.0,G
REGENERATE,1851,ORACLE_ATTRIBUTION,1.0,G
STRONG_VERIFY,0,ORACLE_ATTRIBUTION,0.0,G
TOOL_RETRY,0,ORACLE_ATTRIBUTION,0.0,G
REOBSERVE_REPLAN,0,ORACLE_ATTRIBUTION,0.0,G
COMMIT,0,ORACLE_ATTRIBUTION,0.0,V
REGENERATE,0,ORACLE_ATTRIBUTION,0.0,V
STRONG_VERIFY,2232,ORACLE_ATTRIBUTION,1.0,V
TOOL_RETRY,0,ORACLE_ATTRIBUTION,0.0,V
REOBSERVE_REPLAN,0,ORACLE_ATTRIBUTION,0.0,V
COMMIT,0,ORACLE_ATTRIBUTION,0.0,X
REGENERATE,0,ORACLE_ATTRIBUTION,0.0,X
STRONG_VERIFY,0,ORACLE_ATTRIBUTION,0.0,X
TOOL_RETRY,2084,ORACLE_ATTRIBUTION,1.0,X
REOBSERVE_REPLAN,0,ORACLE_ATTRIBUTION,0.0,X
COMMIT,0,ORACLE_ATTRIBUTION,0.0,E
REGENERATE,0,ORACLE_ATTRIBUTION,0.0,E
STRONG_VERIFY,0,ORACLE_ATTRIBUTION,0.0,E
TOOL_RETRY,0,ORACLE_ATTRIBUTION,0.0,E
REOBSERVE_REPLAN,1778,ORACLE_ATTRIBUTION,1.0,E
